volume_range;filled_volume
(88.3 88.4];0.6
(88.4 88.5];0.6
(88.5 88.6];0.6
(88.6 88.7];0.6
(88.7 88.8];0.6
(88.8 88.9];0.6
(88.9 89.0];0.6
(89.0 89.1];0.6
(89.1 89.2];0.6
(89.2 89.3];0.6
(89.3 89.4];0.6
(89.4 89.5];0.6
(89.5 89.6];0.6
(89.6 89.7];0.6
(89.7 89.8];0.6
(89.8 89.9];0.6
(89.9 90.0];0.6
(90.0 90.1];0.6
(90.1 90.2];0.6
(90.2 90.3];0.6
(90.3 90.4];0.6
(90.4 90.5];0.6
(90.5 90.6];0.6
(90.6 90.7];0.6
(90.7 90.8];0.6
(90.8 90.9];0.6
(90.9 91.0];0.6
(91.0 91.1];0.6
(91.1 91.2];0.6
(91.2 91.3];0.6
(91.3 91.4];0.6
(91.4 91.5];0.6
(91.5 91.6];0.6
(91.6 91.7];0.6
(91.7 91.8];0.6
(91.8 91.9];0.6
(91.9 92.0];0.6
(92.0 92.1];0.6
(92.1 92.2];0.6
(92.2 92.3];0.6
(92.3 92.4];0.6
(92.4 92.5];0.6
(92.5 92.6];0.6
(92.6 92.7];0.6
(92.7 92.8];0.6
(92.8 92.9];0.6
(92.9 93.0];0.6
(93.0 93.1];0.6
(93.1 93.2];0.6
(93.2 93.3];0.6
(93.3 93.4];0.6
(93.4 93.5];0.6
(93.5 93.6];0.6
(93.6 93.7];0.6
(93.7 93.8];0.6
(93.8 93.9];0.6
(93.9 94.0];0.6
(94.0 94.1];0.6
(94.1 94.2];0.6
(94.2 94.3];0.6
(94.3 94.4];0.6
(94.4 94.5];0.6
(94.5 94.6];0.6
(94.6 94.7];0.6
(94.7 94.8];0.6
(94.8 94.9];0.6
(94.9 95.0];0.6
(95.0 95.1];0.6
(95.1 95.2];0.6
(95.2 95.3];0.6
(95.3 95.4];0.6
(95.4 95.5];0.6
(95.5 95.6];0.6
(95.6 95.7];0.6
(95.7 95.8];0.6
(95.8 95.9];0.6
(95.9 96.0];0.6
(96.0 96.1];0.6
(96.1 96.2];0.6
(96.2 96.3];0.6
(96.3 96.4];0.6
(96.4 96.5];0.6
(96.5 96.6];0.6
(96.6 96.7];0.6
(96.7 96.8];0.6
(96.8 96.9];0.6
(96.9 97.0];0.6
(97.0 97.1];0.6
(97.1 97.2];0.6
(97.2 97.3];0.6
(97.3 97.4];0.6
(97.4 97.5];0.6
(97.5 97.6];0.6
(97.6 97.7];0.6
(97.7 97.8];0.6
(97.8 97.9];0.6
(97.9 98.0];0.6
(98.0 98.1];0.6
(98.1 98.2];0.6
(98.2 98.3];0.6
(98.3 98.4];0.6
(98.4 98.5];0.6
(98.5 98.6];0.6
(98.6 98.7];0.6
(98.7 98.8];0.6
(98.8 98.9];0.6
(98.9 99.0];0.6
(99.0 99.1];0.6
(99.1 99.2];0.6
(99.2 99.3];0.6
(99.3 99.4];0.6
(99.4 99.5];0.6
(99.5 99.6];0.6
(99.6 99.7];0.6
(99.7 99.8];0.6
(99.8 99.9];0.6
(99.9 100.0];0.6
(100.0 100.1];0
